iter	Passed	Remaining
0	0	77
1	16	802
2	17	550
3	18	433
4	19	367
5	20	325
6	22	293
7	23	269
8	24	245
9	25	229
10	26	215
11	27	200
12	28	190
13	29	180
14	30	172
15	31	165
16	32	158
17	33	150
18	34	145
19	35	140
20	36	136
21	37	131
22	38	127
23	38	123
24	39	119
25	40	115
26	41	111
27	41	107
28	42	104
29	43	101
30	43	97
31	44	95
32	45	92
33	46	89
34	46	87
35	47	84
36	48	82
37	48	79
38	49	77
39	50	75
40	50	73
41	50	70
42	51	68
43	52	66
44	52	64
45	53	62
46	53	60
47	54	58
48	54	57
49	55	55
50	55	53
51	56	52
52	57	50
53	57	49
54	58	47
55	58	46
56	59	44
57	59	43
58	60	42
59	61	40
60	61	39
61	62	38
62	62	36
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	66	30
69	67	28
70	68	27
71	68	26
72	69	25
73	69	24
74	70	23
75	71	22
76	71	21
77	72	20
78	72	19
79	73	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	79	7
91	80	7
92	81	6
93	81	5
94	82	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
