iter	Passed	Remaining
0	1	1541
1	2	1140
2	3	1002
3	3	919
4	4	882
5	5	845
6	5	834
7	6	826
8	7	810
9	8	798
10	8	787
11	9	781
12	10	773
13	10	759
14	11	753
15	12	743
16	12	742
17	13	735
18	14	727
19	14	718
20	15	715
21	16	712
22	16	711
23	17	714
24	18	718
25	18	711
26	19	709
27	20	711
28	21	708
29	21	706
30	22	704
31	23	700
32	23	697
33	24	694
34	24	688
35	25	684
36	26	680
37	26	677
38	27	678
39	28	674
40	28	671
41	29	668
42	29	666
43	30	665
44	31	664
45	32	664
46	32	661
47	33	662
48	34	663
49	34	662
50	35	661
51	36	660
52	37	661
53	37	661
54	38	659
55	39	658
56	39	657
57	40	656
58	41	654
59	41	653
60	42	652
61	43	650
62	43	649
63	44	647
64	44	645
65	45	644
66	46	643
67	46	644
68	47	643
69	48	642
70	49	642
71	49	640
72	50	639
73	51	638
74	51	636
75	52	635
76	52	633
77	53	631
78	54	630
79	54	629
80	55	628
81	56	628
82	56	623
83	57	621
84	57	619
85	58	619
86	58	618
87	59	617
88	60	616
89	60	616
90	61	615
91	62	614
92	62	614
93	63	613
94	64	612
95	64	611
96	65	609
97	66	607
98	66	606
99	67	606
100	67	605
101	68	603
102	69	602
103	69	601
104	70	599
105	70	598
106	71	596
107	72	595
108	72	594
109	73	593
110	73	592
111	74	590
112	75	590
113	75	589
114	76	589
115	77	588
116	77	587
117	78	586
118	79	586
119	79	585
120	80	584
121	80	582
122	81	581
123	82	579
124	82	579
125	83	578
126	83	577
127	84	575
128	85	574
129	85	573
130	86	572
131	86	570
132	87	569
133	87	568
134	88	568
135	89	567
136	89	566
137	90	566
138	91	565
139	92	565
140	92	564
141	93	562
142	93	561
143	94	560
144	94	559
145	95	558
146	96	557
147	96	556
148	97	555
149	97	554
150	98	553
151	99	552
152	99	551
153	100	550
154	100	550
155	101	549
156	102	549
157	103	549
158	103	548
159	104	547
160	104	546
161	105	546
162	106	545
163	106	544
164	107	544
165	108	544
166	109	543
167	109	543
168	110	542
169	110	541
170	111	540
171	112	539
172	112	538
173	113	537
174	113	536
175	114	535
176	114	534
177	115	533
178	116	532
179	116	531
180	117	530
181	117	530
182	118	529
183	119	528
184	119	527
185	120	526
186	121	526
187	121	525
188	122	525
189	123	524
190	123	524
191	124	523
192	125	523
193	126	523
194	126	522
195	127	521
196	127	520
197	128	520
198	129	519
199	129	518
200	130	517
201	130	516
202	131	515
203	132	515
204	132	514
205	133	513
206	133	512
207	134	511
208	134	510
209	135	510
210	136	509
211	136	508
212	137	508
213	138	507
214	138	506
215	139	506
216	140	505
217	140	504
218	141	503
219	141	502
220	142	501
221	142	500
222	143	499
223	144	499
224	144	498
225	145	497
226	145	497
227	146	496
228	147	495
229	147	495
230	148	494
231	149	493
232	149	493
233	150	492
234	151	491
235	151	491
236	152	490
237	152	489
238	153	488
239	154	488
240	154	487
241	155	486
242	155	485
243	156	485
244	157	484
245	157	483
246	158	482
247	159	482
248	159	481
249	160	480
250	160	480
251	161	479
252	162	478
253	162	477
254	163	476
255	163	476
256	164	475
257	165	475
258	166	475
259	166	475
260	167	474
261	168	473
262	168	472
263	169	472
264	169	471
265	170	470
266	171	469
267	171	468
268	172	468
269	172	467
270	173	466
271	174	466
272	174	465
273	175	464
274	175	463
275	176	463
276	177	462
277	177	462
278	178	461
279	179	460
280	179	460
281	180	459
282	181	459
283	182	459
284	182	458
285	183	458
286	184	457
287	184	456
288	185	455
289	185	454
290	186	454
291	187	453
292	187	452
293	188	451
294	188	451
295	189	450
296	190	449
297	190	449
298	191	448
299	191	447
300	192	446
301	192	445
302	193	445
303	194	444
304	195	445
305	196	445
306	196	444
307	197	443
308	197	442
309	198	442
310	199	441
311	199	440
312	200	440
313	201	440
314	202	439
315	202	438
316	203	438
317	204	437
318	204	436
319	205	436
320	205	435
321	206	435
322	207	434
323	208	434
324	208	433
325	209	432
326	210	432
327	210	431
328	211	431
329	212	430
330	212	430
331	213	429
332	214	428
333	214	428
334	215	427
335	215	426
336	216	426
337	217	425
338	217	424
339	218	424
340	219	423
341	219	422
342	220	422
343	220	421
344	221	420
345	222	420
346	222	419
347	223	418
348	224	418
349	224	417
350	225	417
351	226	416
352	226	415
353	227	415
354	228	414
355	228	414
356	229	413
357	230	412
358	230	411
359	231	411
360	232	410
361	232	410
362	233	409
363	233	408
364	234	407
365	235	407
366	235	406
367	236	405
368	236	405
369	237	404
370	238	403
371	238	402
372	239	402
373	240	401
374	240	401
375	241	401
376	242	400
377	242	399
378	243	398
379	244	398
380	244	397
381	245	396
382	245	396
383	246	395
384	247	394
385	247	394
386	248	393
387	249	392
388	249	392
389	250	391
390	251	391
391	251	390
392	252	389
393	252	389
394	253	388
395	254	387
396	254	387
397	255	386
398	256	386
399	257	385
400	257	384
401	258	384
402	258	383
403	259	382
404	260	382
405	260	381
406	261	380
407	262	380
408	262	379
409	263	379
410	264	378
411	264	377
412	265	377
413	266	376
414	266	375
415	267	375
416	268	374
417	269	374
418	269	374
419	270	373
420	271	372
421	271	372
422	272	371
423	273	370
424	273	370
425	274	369
426	275	369
427	275	368
428	276	367
429	277	367
430	277	366
431	278	365
432	278	365
433	279	364
434	280	363
435	280	362
436	281	362
437	281	361
438	282	361
439	283	360
440	283	359
441	284	359
442	285	358
443	286	358
444	286	357
445	287	356
446	288	356
447	288	355
448	289	355
449	290	354
450	290	353
451	291	353
452	291	352
453	292	351
454	293	350
455	293	350
456	294	349
457	294	349
458	295	348
459	296	347
460	296	347
461	297	346
462	298	345
463	298	345
464	299	344
465	300	344
466	301	343
467	301	343
468	302	342
469	303	341
470	304	341
471	304	340
472	305	340
473	306	340
474	307	339
475	307	338
476	308	338
477	309	337
478	309	336
479	310	336
480	311	335
481	312	335
482	312	334
483	313	334
484	314	333
485	315	333
486	315	332
487	316	331
488	317	331
489	318	331
490	319	330
491	319	330
492	320	329
493	321	328
494	321	328
495	322	327
496	323	327
497	323	326
498	324	325
499	325	325
500	325	324
501	326	323
502	326	323
503	327	322
504	328	321
505	328	321
506	329	320
507	330	319
508	330	319
509	331	318
510	332	317
511	332	317
512	333	316
513	334	315
514	334	315
515	335	314
516	336	314
517	337	313
518	338	313
519	338	312
520	339	311
521	339	311
522	340	310
523	341	309
524	342	309
525	343	309
526	343	308
527	344	308
528	345	307
529	346	307
530	347	306
531	347	305
532	348	305
533	349	304
534	349	303
535	350	303
536	350	302
537	351	301
538	352	301
539	352	300
540	353	299
541	354	299
542	354	298
543	355	297
544	356	297
545	356	296
546	357	296
547	358	295
548	358	294
549	359	294
550	360	293
551	361	292
552	361	292
553	362	291
554	362	290
555	363	290
556	363	289
557	364	289
558	365	288
559	366	287
560	367	287
561	367	286
562	368	285
563	368	285
564	369	284
565	369	283
566	370	282
567	370	282
568	371	281
569	372	281
570	373	280
571	374	279
572	374	279
573	375	278
574	375	277
575	376	277
576	377	276
577	378	276
578	378	275
579	379	274
580	379	273
